building_type,hour,is_business_hours,energy_kWh,pct_of_daily_max,normalized_demand,is_high_demand,global_mean_kWh,global_max_kWh,global_std_kWh,priority_tier,tier_encoded
hospital,0.25,0,333.5619542,0.48113527956598734,-1.7956912277193453,0,492.1167140975,693.2810134,88.29733957278641,Critical,2
restaurant,0.25,0,5.533697529,0.2567691356336039,-1.3146037926566987,0,13.713785745955,21.5512566,6.222473225807428,Non_Critical,0
clinic,0.25,0,1.010244892,0.3953805583298205,-1.974586784229588,0,1.7921347681499997,2.555120303,0.39597545562844416,Critical,2
hotel,0.25,0,19.22271509,0.5949706315599306,-0.8803714232312833,0,23.6966364281,32.3086789,5.081855611927589,Non_Critical,0
commercial_office,0.25,0,8.531044669,0.45287828212818315,-2.325376754702692,0,14.165867766165,18.83738966,2.42318616129311,Flexible,1
k12_school,0.25,0,17.38978264,0.15998194887952946,-1.6646938736575392,0,63.45540451110001,108.6984048,27.672126951001655,Flexible,1
grocery,0.25,0,33.09816013,0.28854400880603664,-1.4889053748928869,0,72.33214215150001,114.7074939,26.35088917952033,Non_Critical,0
fast_food,0.25,0,3.738950333,0.2425236290557125,-1.4920424433109918,0,9.506531862385,15.41684968,3.8655603017188422,Non_Critical,0
post_office,0.25,0,1.366140598,0.23439761566403827,-2.155270901804471,0,3.82523809136,5.828304158,1.1409680964143554,Non_Critical,0
college,0.25,0,77.41851311,0.15153723103404884,-1.7854193741806668,0,279.87928409045,510.8877375,113.39675827587588,Flexible,1
shopping_mall,0.25,0,125.8389154,0.27927586582884806,-1.3561546678423566,0,287.1067392425,450.5900108,118.9155089094097,Non_Critical,0
library,0.25,0,6.492148748,0.4188162520180794,-2.2835385060817694,0,11.466675971555,15.5011863,2.1784283149891257,Flexible,1
warehouse,0.25,0,20.36260965,0.3893726060849743,-3.440217512607463,0,40.90280188765,52.29594823,5.9706075915718335,Flexible,1
police_station,0.25,0,5.349394866,0.4024053604537665,-3.7281987773244873,0,10.753989778690002,13.29354773,1.4496520993898796,Critical,2
fitness_center,0.25,0,5.396642953,0.37365518192075725,-3.809631984546312,0,11.50760895661,14.44284253,1.6040820264967846,Non_Critical,0
bus_station,0.25,0,4.442050125,0.34407289062431584,-4.039878056097285,0,10.295153981005,12.91020085,1.4488308149036853,Non_Critical,0
fire_station,0.25,0,5.84252123,0.42611206795643386,-3.5811848822218697,0,11.53305245999,13.71123155,1.5890069448954423,Critical,2
movie_theater,0.25,0,16.54207818,0.42611206801222173,-3.5811863403112776,0,32.65382323,38.82095679,4.4989955667632815,Non_Critical,0
gas_station,0.25,0,11.67129104,0.40905609354421074,-2.7842895923070596,0,21.4100635575,28.53225077,3.4977574746960394,Non_Critical,0
hospital,0.5,0,329.4488428,0.47520245965530145,-1.8422737337531414,0,492.1167140975,693.2810134,88.29733957278641,Critical,2
restaurant,0.5,0,5.149521333,0.23894297342271914,-1.3763438950755482,0,13.713785745955,21.5512566,6.222473225807428,Non_Critical,0
clinic,0.5,0,1.020312693,0.399320803721859,-1.9491615326599676,0,1.7921347681499997,2.555120303,0.39597545562844416,Critical,2
hotel,0.5,0,18.88251138,0.584440838278906,-0.9473161908584358,0,23.6966364281,32.3086789,5.081855611927589,Non_Critical,0
commercial_office,0.5,0,8.535836716,0.4531326723110319,-2.323399174482498,0,14.165867766165,18.83738966,2.42318616129311,Flexible,1
k12_school,0.5,0,17.42100945,0.16026922825642054,-1.66356541653074,0,63.45540451110001,108.6984048,27.672126951001655,Flexible,1
grocery,0.5,0,32.19888478,0.28070428256475055,-1.523032318759812,0,72.33214215150001,114.7074939,26.35088917952033,Non_Critical,0
fast_food,0.5,0,3.275820282,0.21248311749771176,-1.611851706404056,0,9.506531862385,15.41684968,3.8655603017188422,Non_Critical,0
post_office,0.5,0,1.297270131,0.22258106231799032,-2.2156322798789816,0,3.82523809136,5.828304158,1.1409680964143554,Non_Critical,0
college,0.5,0,76.82383401,0.1503732197330338,-1.7906636078236517,0,279.87928409045,510.8877375,113.39675827587588,Flexible,1
shopping_mall,0.5,0,118.039964,0.26196755625013957,-1.4217386392346612,0,287.1067392425,450.5900108,118.9155089094097,Non_Critical,0
library,0.5,0,6.331616517,0.40846012650012464,-2.357230238879995,0,11.466675971555,15.5011863,2.1784283149891257,Flexible,1
warehouse,0.5,0,19.79977859,0.37861018415651737,-3.534484462344295,0,40.90280188765,52.29594823,5.9706075915718335,Flexible,1
police_station,0.5,0,4.990464273,0.37540499905362734,-3.9757963530141915,0,10.753989778690002,13.29354773,1.4496520993898796,Critical,2
fitness_center,0.5,0,5.18206917,0.35879842622641955,-3.9433992393926,0,11.50760895661,14.44284253,1.6040820264967846,Non_Critical,0
bus_station,0.5,0,4.347704407,0.3367650478497397,-4.1049965308777905,0,10.295153981005,12.91020085,1.4488308149036853,Non_Critical,0
fire_station,0.5,0,5.558792565,0.40541891111159883,-3.7597419913360532,0,11.53305245999,13.71123155,1.5890069448954423,Critical,2
movie_theater,0.5,0,15.73875003,0.4054189111087079,-3.759743522580466,0,32.65382323,38.82095679,4.4989955667632815,Non_Critical,0
gas_station,0.5,0,11.35324742,0.39790928207939624,-2.8752174314648613,0,21.4100635575,28.53225077,3.4977574746960394,Non_Critical,0
hospital,0.75,0,327.8843761,0.4729458470122874,-1.8599918970619265,0,492.1167140975,693.2810134,88.29733957278641,Critical,2
restaurant,0.75,0,4.778681141,0.22173561522162008,-1.4359407979380714,0,13.713785745955,21.5512566,6.222473225807428,Non_Critical,0
clinic,0.75,0,1.016126311,0.39768237519264865,-1.9597338329583673,0,1.7921347681499997,2.555120303,0.39597545562844416,Critical,2
hotel,0.75,0,18.51256814,0.5729905638450602,-1.020113057879774,0,23.6966364281,32.3086789,5.081855611927589,Non_Critical,0
commercial_office,0.75,0,8.26306005,0.43865207436601916,-2.4359685502027113,0,14.165867766165,18.83738966,2.42318616129311,Flexible,1
k12_school,0.75,0,15.96180707,0.14684490632009717,-1.7162972621836576,0,63.45540451110001,108.6984048,27.672126951001655,Flexible,1
grocery,0.75,0,32.73809219,0.28540499907129435,-1.5025697307285708,0,72.33214215150001,114.7074939,26.35088917952033,Non_Critical,0
fast_food,0.75,0,3.111429836,0.2018200800152058,-1.6543786341045434,0,9.506531862385,15.41684968,3.8655603017188422,Non_Critical,0
post_office,0.75,0,1.260174913,0.21621639482734764,-2.2481443068186917,0,3.82523809136,5.828304158,1.1409680964143554,Non_Critical,0
college,0.75,0,75.02994281,0.14686189803097396,-1.8064832062976763,0,279.87928409045,510.8877375,113.39675827587588,Flexible,1
shopping_mall,0.75,0,111.7608754,0.24803229703555604,-1.4745415797828152,0,287.1067392425,450.5900108,118.9155089094097,Non_Critical,0
library,0.75,0,6.209540016,0.4005848259497404,-2.413269009640206,0,11.466675971555,15.5011863,2.1784283149891257,Flexible,1
warehouse,0.75,0,19.26655262,0.36841386899162454,-3.623792941006371,0,40.90280188765,52.29594823,5.9706075915718335,Flexible,1
police_station,0.75,0,4.734278228,0.35613354118524687,-4.152518663412328,0,10.753989778690002,13.29354773,1.4496520993898796,Critical,2
fitness_center,0.75,0,4.986905177,0.3452855742656913,-4.065066253989859,0,11.50760895661,14.44284253,1.6040820264967846,Non_Critical,0
bus_station,0.75,0,4.218063698,0.32672332111703745,-4.194476005076539,0,10.295153981005,12.91020085,1.4488308149036853,Non_Critical,0
fire_station,0.75,0,5.298102409,0.38640601974226013,-3.9238004259319568,0,11.53305245999,13.71123155,1.5890069448954423,Critical,2
